Name,hr9,hr9nr,kPerc,kPercn,BBPerc,BBPercnr,WHIP,WHIPnr,BABIP,BABIPnr,FIP,FIPnr
Yovani Gallardo,0.59,0.792134831,0.16,0.217391304,0.09,0.222222222,1.32,0.319444444,0.28,0.58677686,3.69,0.593830334
David Phelps,0.72,0.719101124,0.16,0.217391304,0.07,0.444444444,1.28,0.375,0.289,0.512396694,3.7,0.59125964
C.J. Wilson,0.77,0.691011236,0.2,0.391304348,0.08,0.333333333,1.21,0.472222222,0.277,0.611570248,3.71,0.588688946
J.A. Happ,0.85,0.646067416,0.18,0.304347826,0.07,0.444444444,1.36,0.263888889,0.315,0.297520661,3.72,0.586118252
Edinson Volquez,0.64,0.764044944,0.18,0.304347826,0.09,0.222222222,1.28,0.375,0.279,0.595041322,3.72,0.586118252
Nate Karns,0.94,0.595505618,0.22,0.47826087,0.08,0.333333333,1.21,0.472222222,0.274,0.636363636,3.73,0.583547558
Andrew Cashner,1,0.561797753,0.21,0.434782609,0.07,0.444444444,1.31,0.333333333,0.307,0.363636364,3.77,0.573264781
Collin McHugh,0.99,0.56741573,0.18,0.304347826,0.05,0.666666667,1.28,0.375,0.31,0.338842975,3.81,0.562982005
Colby Lewis,1.07,0.52247191,0.18,0.304347826,0.05,0.666666667,1.19,0.5,0.286,0.537190083,3.83,0.557840617
Hector Santiago,1.06,0.528089888,0.23,0.52173913,0.08,0.333333333,1.15,0.555555556,0.259,0.760330579,3.83,0.557840617
Mark Buehrle,0.87,0.634831461,0.12,0.043478261,0.04,0.777777778,1.19,0.5,0.283,0.561983471,3.84,0.555269923
Mike Fiers,1.13,0.488764045,0.24,0.565217391,0.09,0.222222222,1.38,0.236111111,0.319,0.26446281,3.88,0.544987147
Jeremy Hellickson,1.17,0.466292135,0.2,0.391304348,0.07,0.444444444,1.32,0.319444444,0.301,0.41322314,3.94,0.529562982
Anthony DeSclafani,0.8,0.674157303,0.17,0.260869565,0.09,0.222222222,1.37,0.25,0.292,0.487603306,3.94,0.529562982
Mike Leake,0.98,0.573033708,0.17,0.260869565,0.06,0.555555556,1.18,0.513888889,0.269,0.67768595,3.94,0.529562982
Alfredo Simon,0.89,0.623595506,0.17,0.260869565,0.08,0.333333333,1.46,0.125,0.317,0.280991736,3.96,0.524421594
Wade Miley,0.79,0.679775281,0.17,0.260869565,0.09,0.222222222,1.37,0.25,0.293,0.479338843,3.96,0.524421594
Kyle Gibson,0.87,0.634831461,0.17,0.260869565,0.08,0.333333333,1.27,0.388888889,0.284,0.553719008,3.97,0.5218509
Drew Hutchison,1.08,0.516853933,0.2,0.391304348,0.07,0.444444444,1.5,0.069444444,0.351,0,3.98,0.519280206
Aaron Harang,1.02,0.550561798,0.16,0.217391304,0.06,0.555555556,1.24,0.430555556,0.28,0.58677686,4.07,0.496143959
Jimmy Nelson,0.96,0.584269663,0.2,0.391304348,0.09,0.222222222,1.29,0.361111111,0.291,0.495867769,4.08,0.493573265
Chris Tillman,0.86,0.640449438,0.18,0.304347826,0.09,0.222222222,1.4,0.208333333,0.303,0.396694215,4.1,0.488431877
James Shields,1.42,0.325842697,0.27,0.695652174,0.09,0.222222222,1.32,0.319444444,0.314,0.305785124,4.12,0.483290488
Mike Pelfrey,0.6,0.786516854,0.11,0,0.07,0.444444444,1.47,0.111111111,0.323,0.231404959,4.15,0.475578406
Chase Anderson,1.03,0.54494382,0.15,0.173913043,0.06,0.555555556,1.28,0.375,0.294,0.47107438,4.22,0.457583548
Trevor Bauer,1.33,0.376404494,0.24,0.565217391,0.1,0.111111111,1.26,0.402777778,0.267,0.694214876,4.24,0.452442159
Wei-Yin Chen,1.41,0.331460674,0.19,0.347826087,0.05,0.666666667,1.13,0.583333333,0.264,0.719008264,4.26,0.447300771
Taijuan Walker,1.52,0.269662921,0.23,0.52173913,0.06,0.555555556,1.3,0.347222222,0.31,0.338842975,4.29,0.439588689
Jon Niese,1.01,0.556179775,0.15,0.173913043,0.07,0.444444444,1.38,0.236111111,0.294,0.47107438,4.31,0.434447301
Tom Koehler,1.05,0.533707865,0.17,0.260869565,0.09,0.222222222,1.2,0.486111111,0.252,0.818181818,4.32,0.431876607
Anibal Sanchez,1.45,0.308988764,0.21,0.434782609,0.08,0.333333333,1.25,0.416666667,0.276,0.619834711,4.35,0.424164524
John Danks,1.24,0.426966292,0.16,0.217391304,0.06,0.555555556,1.45,0.138888889,0.317,0.280991736,4.36,0.42159383
Julio Teheran,1.2,0.449438202,0.2,0.391304348,0.09,0.222222222,1.37,0.25,0.307,0.363636364,4.37,0.419023136
Rick Porcello,1.44,0.314606742,0.19,0.347826087,0.05,0.666666667,1.37,0.25,0.321,0.247933884,4.42,0.406169666
Phil Hughes,1.58,0.235955056,0.14,0.130434783,0.02,1,1.22,0.458333333,0.291,0.495867769,4.5,0.385604113
Dan Haren,1.46,0.303370787,0.17,0.260869565,0.05,0.666666667,1.1,0.625,0.251,0.826446281,4.55,0.372750643
CC Sabathia,1.69,0.174157303,0.19,0.347826087,0.05,0.666666667,1.41,0.194444444,0.328,0.190082645,4.55,0.372750643
